num,song,artist,album,release,playtime,genre,cover
1,Insecure(feat. Pink Sweat$),Bren Joy,Twenties (Deluxe),2020.03.06,182,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
2,IDGAF,Bren Joy,Twenties (Deluxe),2020.03.06,169,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
3,Fiji Fine,Bren Joy,Twenties (Deluxe),2020.03.06,181,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
4,Lil Rich(feat. Mae Muller),Bren Joy,Twenties (Deluxe),2020.03.06,169,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
5,Multiply,Bren Joy,Twenties (Deluxe),2020.03.06,246,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
6,Mrs. Jons,Bren Joy,Twenties (Deluxe),2020.03.06,199,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
7,Freezing,Bren Joy,Twenties (Deluxe),2020.03.06,178,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
8,Sweet(feat. Landon Sears),Bren Joy,Twenties (Deluxe),2020.03.06,227,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
9,Twenties,Bren Joy,Twenties (Deluxe),2020.03.06,256,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
10,When Martin Died,Bren Joy,Twenties (Deluxe),2020.03.06,107,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
11,Drag Race,Bren Joy,Twenties (Deluxe),2020.03.06,269,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
12,Scottie Pippen,Bren Joy,Twenties (Deluxe),2020.03.06,193,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
13,Upper East Side,Bren Joy,Twenties (Deluxe),2020.03.06,197,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
14,Pocket,Bren Joy,Twenties (Deluxe),2020.03.06,219,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
15,Henny in the Hamptons,Bren Joy,Twenties (Deluxe),2020.03.06,198,R&B,https://image.bugsm.co.kr/album/images/500/9854/985425.jpg
